start--------------------------------------------
Received frame with timestamp ,1684125771.47, E2E delay ,0.800947904587, and size ,327680,
Received frame with timestamp ,1684125772.05, E2E delay ,0.458116769791, and size ,327680,
Received frame with timestamp ,1684125772.21, E2E delay ,0.683137893677, and size ,327680,
Received frame with timestamp ,1684125772.4, E2E delay ,0.721427679062, and size ,327680,
Received frame with timestamp ,1684125772.48, E2E delay ,1.18932676315, and size ,327680,
Received frame with timestamp ,1684125772.51, E2E delay ,1.15697073936, and size ,327680,
Received frame with timestamp ,1684125772.55, E2E delay ,1.5051908493, and size ,327680,
Received frame with timestamp ,1684125772.58, E2E delay ,1.68195581436, and size ,327680,
Received frame with timestamp ,1684125772.61, E2E delay ,1.87818360329, and size ,327680,
Received frame with timestamp ,1684125773.43, E2E delay ,1.32483053207, and size ,327680,
Received frame with timestamp ,1684125773.46, E2E delay ,1.6334207058, and size ,327680,
Received frame with timestamp ,1684125773.66, E2E delay ,1.72202754021, and size ,327680,
Received frame with timestamp ,1684125773.69, E2E delay ,2.13720536232, and size ,327680,
Received frame with timestamp ,1684125773.73, E2E delay ,2.31572580338, and size ,327680,
Received frame with timestamp ,1684125774.38, E2E delay ,2.33040571213, and size ,327680,
Received frame with timestamp ,1684125774.41, E2E delay ,2.55619287491, and size ,327680,
Received frame with timestamp ,1684125775.03, E2E delay ,2.22413754463, and size ,327680,
Received frame with timestamp ,1684125775.06, E2E delay ,2.96144533157, and size ,327680,
Received frame with timestamp ,1684125775.8, E2E delay ,2.23785495758, and size ,327680,
Received frame with timestamp ,1684125775.84, E2E delay ,2.34106254578, and size ,327680,
Received frame with timestamp ,1684125776.87, E2E delay ,1.58170771599, and size ,327680,
Received frame with timestamp ,1684125776.91, E2E delay ,1.74828004837, and size ,327680,
Received frame with timestamp ,1684125776.94, E2E delay ,1.89961504936, and size ,327680,
Received frame with timestamp ,1684125777.94, E2E delay ,1.02208518982, and size ,327680,
Received frame with timestamp ,1684125777.97, E2E delay ,1.15794086456, and size ,327680,
Received frame with timestamp ,1684125778.01, E2E delay ,1.41553997993, and size ,327680,
Received frame with timestamp ,1684125778.04, E2E delay ,1.63582754135, and size ,327680,
Received frame with timestamp ,1684125778.56, E2E delay ,1.29108476639, and size ,327680,
Received frame with timestamp ,1684125778.6, E2E delay ,1.40575265884, and size ,327680,
Received frame with timestamp ,1684125778.63, E2E delay ,1.50630784035, and size ,327680,
END ----------------------------------------------------------------------------
