start--------------------------------------------
packet_index ,1, sent_timestamp ,Mon Oct 09 14:44:34 2023,received-send delay ,3596.836000,[msec] and size ,40960,
packet_index ,2, sent_timestamp ,Mon Oct 09 14:44:34 2023,received-send delay ,3614.987000,[msec] and size ,40960,
packet_index ,3, sent_timestamp ,Mon Oct 09 14:44:34 2023,received-send delay ,3581.533000,[msec] and size ,40960,
packet_index ,4, sent_timestamp ,Mon Oct 09 14:44:34 2023,received-send delay ,3605.788000,[msec] and size ,40960,
packet_index ,5, sent_timestamp ,Mon Oct 09 14:44:34 2023,received-send delay ,3894.993000,[msec] and size ,40960,
packet_index ,6, sent_timestamp ,Mon Oct 09 14:44:34 2023,received-send delay ,4051.060000,[msec] and size ,40960,
packet_index ,7, sent_timestamp ,Mon Oct 09 14:44:34 2023,received-send delay ,4102.768000,[msec] and size ,40960,
packet_index ,8, sent_timestamp ,Mon Oct 09 14:44:34 2023,received-send delay ,4096.817000,[msec] and size ,40960,
packet_index ,9, sent_timestamp ,Mon Oct 09 14:44:34 2023,received-send delay ,4063.487000,[msec] and size ,40960,
packet_index ,10, sent_timestamp ,Mon Oct 09 14:44:34 2023,received-send delay ,4073.815000,[msec] and size ,40960,
packet_index ,11, sent_timestamp ,Mon Oct 09 14:44:34 2023,received-send delay ,4206.915000,[msec] and size ,40960,
packet_index ,12, sent_timestamp ,Mon Oct 09 14:44:34 2023,received-send delay ,4427.209000,[msec] and size ,40960,
packet_index ,13, sent_timestamp ,Mon Oct 09 14:44:34 2023,received-send delay ,4496.619000,[msec] and size ,40960,
packet_index ,14, sent_timestamp ,Mon Oct 09 14:44:35 2023,received-send delay ,3352.330000,[msec] and size ,40960,
packet_index ,15, sent_timestamp ,Mon Oct 09 14:44:35 2023,received-send delay ,3427.089000,[msec] and size ,40960,
packet_index ,16, sent_timestamp ,Mon Oct 09 14:44:35 2023,received-send delay ,3444.063000,[msec] and size ,40960,
packet_index ,17, sent_timestamp ,Mon Oct 09 14:44:35 2023,received-send delay ,3536.311000,[msec] and size ,40960,
packet_index ,18, sent_timestamp ,Mon Oct 09 14:44:36 2023,received-send delay ,3546.202000,[msec] and size ,40960,
packet_index ,19, sent_timestamp ,Mon Oct 09 14:44:36 2023,received-send delay ,3578.795000,[msec] and size ,40960,
packet_index ,20, sent_timestamp ,Mon Oct 09 14:44:36 2023,received-send delay ,3762.024000,[msec] and size ,40960,
packet_index ,21, sent_timestamp ,Mon Oct 09 14:44:36 2023,received-send delay ,3847.812000,[msec] and size ,40960,
packet_index ,22, sent_timestamp ,Mon Oct 09 14:44:36 2023,received-send delay ,3919.339000,[msec] and size ,40960,
packet_index ,23, sent_timestamp ,Mon Oct 09 14:44:36 2023,received-send delay ,4021.713000,[msec] and size ,40960,
packet_index ,24, sent_timestamp ,Mon Oct 09 14:44:36 2023,received-send delay ,4157.009000,[msec] and size ,40960,
packet_index ,25, sent_timestamp ,Mon Oct 09 14:44:36 2023,received-send delay ,4221.725000,[msec] and size ,40960,
packet_index ,26, sent_timestamp ,Mon Oct 09 14:44:36 2023,received-send delay ,4225.453000,[msec] and size ,40960,
packet_index ,27, sent_timestamp ,Mon Oct 09 14:44:36 2023,received-send delay ,4233.931000,[msec] and size ,40960,
packet_index ,28, sent_timestamp ,Mon Oct 09 14:44:36 2023,received-send delay ,4200.696000,[msec] and size ,40960,
packet_index ,29, sent_timestamp ,Mon Oct 09 14:44:36 2023,received-send delay ,4268.346000,[msec] and size ,40960,
packet_index ,30, sent_timestamp ,Mon Oct 09 14:44:37 2023,received-send delay ,2843.973000,[msec] and size ,40960,
packet_index ,31, sent_timestamp ,Mon Oct 09 14:44:37 2023,received-send delay ,2849.989000,[msec] and size ,40960,
packet_index ,32, sent_timestamp ,Mon Oct 09 14:44:37 2023,received-send delay ,2866.683000,[msec] and size ,40960,
packet_index ,33, sent_timestamp ,Mon Oct 09 14:44:37 2023,received-send delay ,2880.566000,[msec] and size ,40960,
packet_index ,34, sent_timestamp ,Mon Oct 09 14:44:37 2023,received-send delay ,2880.536000,[msec] and size ,40960,
packet_index ,35, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2884.452000,[msec] and size ,40960,
packet_index ,36, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2881.086000,[msec] and size ,40960,
packet_index ,37, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2876.058000,[msec] and size ,40960,
packet_index ,38, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2872.162000,[msec] and size ,40960,
packet_index ,39, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2868.727000,[msec] and size ,40960,
packet_index ,40, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2866.207000,[msec] and size ,40960,
packet_index ,41, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2832.867000,[msec] and size ,40960,
packet_index ,42, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2831.307000,[msec] and size ,40960,
packet_index ,43, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2797.882000,[msec] and size ,40960,
packet_index ,44, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2764.395000,[msec] and size ,40960,
packet_index ,45, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2777.187000,[msec] and size ,40960,
packet_index ,46, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2815.723000,[msec] and size ,40960,
packet_index ,47, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2809.232000,[msec] and size ,40960,
packet_index ,48, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2811.052000,[msec] and size ,40960,
packet_index ,49, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2818.027000,[msec] and size ,40960,
packet_index ,50, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2849.487000,[msec] and size ,40960,
packet_index ,51, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2856.372000,[msec] and size ,40960,
packet_index ,52, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2929.324000,[msec] and size ,40960,
packet_index ,53, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2930.243000,[msec] and size ,40960,
packet_index ,54, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2956.556000,[msec] and size ,40960,
packet_index ,55, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2959.828000,[msec] and size ,40960,
packet_index ,56, sent_timestamp ,Mon Oct 09 14:44:38 2023,received-send delay ,2961.954000,[msec] and size ,40960,
