start--------------------------------------------
packet_index ,1, sent_timestamp ,Mon Oct 09 13:49:22 2023,received-send delay ,605.518000,[msec] and size ,40960,
packet_index ,2, sent_timestamp ,Mon Oct 09 13:49:22 2023,received-send delay ,676.016000,[msec] and size ,40960,
packet_index ,3, sent_timestamp ,Mon Oct 09 13:49:22 2023,received-send delay ,753.269000,[msec] and size ,40960,
packet_index ,4, sent_timestamp ,Mon Oct 09 13:49:22 2023,received-send delay ,807.746000,[msec] and size ,40960,
packet_index ,5, sent_timestamp ,Mon Oct 09 13:49:22 2023,received-send delay ,870.820000,[msec] and size ,40960,
packet_index ,6, sent_timestamp ,Mon Oct 09 13:49:22 2023,received-send delay ,941.639000,[msec] and size ,40960,
packet_index ,7, sent_timestamp ,Mon Oct 09 13:49:22 2023,received-send delay ,949.658000,[msec] and size ,40960,
packet_index ,8, sent_timestamp ,Mon Oct 09 13:49:23 2023,received-send delay ,954.814000,[msec] and size ,40960,
packet_index ,9, sent_timestamp ,Mon Oct 09 13:49:23 2023,received-send delay ,968.313000,[msec] and size ,40960,
packet_index ,10, sent_timestamp ,Mon Oct 09 13:49:23 2023,received-send delay ,652.223000,[msec] and size ,40960,
packet_index ,11, sent_timestamp ,Mon Oct 09 13:49:23 2023,received-send delay ,588.775000,[msec] and size ,40960,
packet_index ,12, sent_timestamp ,Mon Oct 09 13:49:23 2023,received-send delay ,478.349000,[msec] and size ,40960,
packet_index ,13, sent_timestamp ,Mon Oct 09 13:49:23 2023,received-send delay ,438.695000,[msec] and size ,40960,
packet_index ,14, sent_timestamp ,Mon Oct 09 13:49:23 2023,received-send delay ,343.063000,[msec] and size ,40960,
packet_index ,15, sent_timestamp ,Mon Oct 09 13:49:23 2023,received-send delay ,238.930000,[msec] and size ,40960,
packet_index ,16, sent_timestamp ,Mon Oct 09 13:49:23 2023,received-send delay ,250.022000,[msec] and size ,40960,
packet_index ,17, sent_timestamp ,Mon Oct 09 13:49:23 2023,received-send delay ,216.617000,[msec] and size ,40960,
packet_index ,18, sent_timestamp ,Mon Oct 09 13:49:23 2023,received-send delay ,236.535000,[msec] and size ,40960,
packet_index ,19, sent_timestamp ,Mon Oct 09 13:49:24 2023,received-send delay ,203.397000,[msec] and size ,40960,
packet_index ,20, sent_timestamp ,Mon Oct 09 13:49:24 2023,received-send delay ,222.592000,[msec] and size ,40960,
packet_index ,21, sent_timestamp ,Mon Oct 09 13:49:24 2023,received-send delay ,189.396000,[msec] and size ,40960,
packet_index ,22, sent_timestamp ,Mon Oct 09 13:49:24 2023,received-send delay ,195.156000,[msec] and size ,40960,
packet_index ,23, sent_timestamp ,Mon Oct 09 13:49:24 2023,received-send delay ,161.981000,[msec] and size ,40960,
packet_index ,24, sent_timestamp ,Mon Oct 09 13:49:24 2023,received-send delay ,163.724000,[msec] and size ,40960,
packet_index ,25, sent_timestamp ,Mon Oct 09 13:49:24 2023,received-send delay ,130.585000,[msec] and size ,40960,
packet_index ,26, sent_timestamp ,Mon Oct 09 13:49:24 2023,received-send delay ,145.224000,[msec] and size ,40960,
packet_index ,27, sent_timestamp ,Mon Oct 09 13:49:24 2023,received-send delay ,111.972000,[msec] and size ,40960,
packet_index ,28, sent_timestamp ,Mon Oct 09 13:49:24 2023,received-send delay ,113.137000,[msec] and size ,40960,
packet_index ,29, sent_timestamp ,Mon Oct 09 13:49:24 2023,received-send delay ,79.820000,[msec] and size ,40960,
