start--------------------------------------------
packet_index ,1, sent_timestamp ,Tue Oct 10 20:25:47 2023,received-send delay ,423.049000,[msec] and size ,40960,
packet_index ,2, sent_timestamp ,Tue Oct 10 20:25:47 2023,received-send delay ,251.164000,[msec] and size ,40960,
packet_index ,3, sent_timestamp ,Tue Oct 10 20:25:47 2023,received-send delay ,201.367000,[msec] and size ,40960,
packet_index ,4, sent_timestamp ,Tue Oct 10 20:25:47 2023,received-send delay ,240.343000,[msec] and size ,40960,
packet_index ,5, sent_timestamp ,Tue Oct 10 20:25:47 2023,received-send delay ,198.588000,[msec] and size ,40960,
packet_index ,6, sent_timestamp ,Tue Oct 10 20:25:47 2023,received-send delay ,165.209000,[msec] and size ,40960,
packet_index ,7, sent_timestamp ,Tue Oct 10 20:25:47 2023,received-send delay ,253.793000,[msec] and size ,40960,
packet_index ,8, sent_timestamp ,Tue Oct 10 20:25:47 2023,received-send delay ,220.601000,[msec] and size ,40960,
packet_index ,9, sent_timestamp ,Tue Oct 10 20:25:47 2023,received-send delay ,284.745000,[msec] and size ,40960,
packet_index ,10, sent_timestamp ,Tue Oct 10 20:25:47 2023,received-send delay ,251.398000,[msec] and size ,40960,
packet_index ,11, sent_timestamp ,Tue Oct 10 20:25:47 2023,received-send delay ,218.048000,[msec] and size ,40960,
packet_index ,12, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,304.456000,[msec] and size ,40960,
packet_index ,13, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,270.950000,[msec] and size ,40960,
packet_index ,14, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,237.486000,[msec] and size ,40960,
packet_index ,15, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,322.253000,[msec] and size ,40960,
packet_index ,16, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,266.071000,[msec] and size ,40960,
packet_index ,17, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,232.686000,[msec] and size ,40960,
packet_index ,18, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,337.452000,[msec] and size ,40960,
packet_index ,19, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,304.256000,[msec] and size ,40960,
packet_index ,20, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,270.922000,[msec] and size ,40960,
packet_index ,21, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,237.595000,[msec] and size ,40960,
packet_index ,22, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,322.605000,[msec] and size ,40960,
packet_index ,23, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,278.879000,[msec] and size ,40960,
packet_index ,24, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,364.457000,[msec] and size ,40960,
packet_index ,25, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,331.000000,[msec] and size ,40960,
packet_index ,26, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,297.491000,[msec] and size ,40960,
packet_index ,27, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,348.462000,[msec] and size ,40960,
packet_index ,28, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,315.032000,[msec] and size ,40960,
packet_index ,29, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,281.566000,[msec] and size ,40960,
packet_index ,30, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,248.097000,[msec] and size ,40960,
packet_index ,31, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,214.664000,[msec] and size ,40960,
packet_index ,32, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,320.979000,[msec] and size ,40960,
packet_index ,33, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,287.730000,[msec] and size ,40960,
packet_index ,34, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,254.446000,[msec] and size ,40960,
packet_index ,35, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,221.060000,[msec] and size ,40960,
packet_index ,36, sent_timestamp ,Tue Oct 10 20:25:48 2023,received-send delay ,294.104000,[msec] and size ,40960,
