start--------------------------------------------
packet_index ,1, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,310.383000,[msec] and size ,40960,
packet_index ,2, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,250.625000,[msec] and size ,40960,
packet_index ,3, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,245.330000,[msec] and size ,40960,
packet_index ,4, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,245.790000,[msec] and size ,40960,
packet_index ,5, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,237.851000,[msec] and size ,40960,
packet_index ,6, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,204.689000,[msec] and size ,40960,
packet_index ,7, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,210.321000,[msec] and size ,40960,
packet_index ,8, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,240.645000,[msec] and size ,40960,
packet_index ,9, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,207.289000,[msec] and size ,40960,
packet_index ,10, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,234.346000,[msec] and size ,40960,
packet_index ,11, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,184.762000,[msec] and size ,40960,
packet_index ,12, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,151.359000,[msec] and size ,40960,
packet_index ,13, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,177.881000,[msec] and size ,40960,
packet_index ,14, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,144.646000,[msec] and size ,40960,
packet_index ,15, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,155.797000,[msec] and size ,40960,
packet_index ,16, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,122.595000,[msec] and size ,40960,
packet_index ,17, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,165.211000,[msec] and size ,40960,
packet_index ,18, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,131.967000,[msec] and size ,40960,
packet_index ,19, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,144.175000,[msec] and size ,40960,
packet_index ,20, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,110.887000,[msec] and size ,40960,
packet_index ,21, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,134.865000,[msec] and size ,40960,
packet_index ,22, sent_timestamp ,Tue Oct 10 21:12:15 2023,received-send delay ,183.486000,[msec] and size ,40960,
packet_index ,23, sent_timestamp ,Tue Oct 10 21:12:16 2023,received-send delay ,150.201000,[msec] and size ,40960,
packet_index ,24, sent_timestamp ,Tue Oct 10 21:12:16 2023,received-send delay ,116.853000,[msec] and size ,40960,
packet_index ,25, sent_timestamp ,Tue Oct 10 21:12:16 2023,received-send delay ,119.465000,[msec] and size ,40960,
packet_index ,26, sent_timestamp ,Tue Oct 10 21:12:16 2023,received-send delay ,128.650000,[msec] and size ,40960,
packet_index ,27, sent_timestamp ,Tue Oct 10 21:12:16 2023,received-send delay ,95.434000,[msec] and size ,40960,
packet_index ,28, sent_timestamp ,Tue Oct 10 21:12:16 2023,received-send delay ,108.196000,[msec] and size ,40960,
packet_index ,29, sent_timestamp ,Tue Oct 10 21:12:16 2023,received-send delay ,126.188000,[msec] and size ,40960,
packet_index ,30, sent_timestamp ,Tue Oct 10 21:12:16 2023,received-send delay ,153.813000,[msec] and size ,40960,
packet_index ,31, sent_timestamp ,Tue Oct 10 21:12:16 2023,received-send delay ,120.560000,[msec] and size ,40960,
packet_index ,32, sent_timestamp ,Tue Oct 10 21:12:16 2023,received-send delay ,124.099000,[msec] and size ,40960,
packet_index ,33, sent_timestamp ,Tue Oct 10 21:12:16 2023,received-send delay ,90.757000,[msec] and size ,40960,
packet_index ,34, sent_timestamp ,Tue Oct 10 21:12:16 2023,received-send delay ,121.021000,[msec] and size ,40960,
packet_index ,35, sent_timestamp ,Tue Oct 10 21:12:16 2023,received-send delay ,124.664000,[msec] and size ,40960,
packet_index ,36, sent_timestamp ,Tue Oct 10 21:12:16 2023,received-send delay ,145.547000,[msec] and size ,40960,
packet_index ,37, sent_timestamp ,Tue Oct 10 21:12:16 2023,received-send delay ,112.265000,[msec] and size ,40960,
packet_index ,38, sent_timestamp ,Tue Oct 10 21:12:16 2023,received-send delay ,117.053000,[msec] and size ,40960,
packet_index ,39, sent_timestamp ,Tue Oct 10 21:12:16 2023,received-send delay ,125.437000,[msec] and size ,40960,
packet_index ,40, sent_timestamp ,Tue Oct 10 21:12:16 2023,received-send delay ,92.241000,[msec] and size ,40960,
packet_index ,41, sent_timestamp ,Tue Oct 10 21:12:16 2023,received-send delay ,154.800000,[msec] and size ,40960,
