start--------------------------------------------
packet_index ,1, sent_timestamp ,Wed Oct 18 17:03:27 2023,received-send delay ,477.545000,[msec] and size ,40960,
packet_index ,2, sent_timestamp ,Wed Oct 18 17:03:27 2023,received-send delay ,234.857000,[msec] and size ,40960,
packet_index ,3, sent_timestamp ,Wed Oct 18 17:03:27 2023,received-send delay ,215.104000,[msec] and size ,40960,
packet_index ,4, sent_timestamp ,Wed Oct 18 17:03:27 2023,received-send delay ,160.804000,[msec] and size ,40960,
packet_index ,5, sent_timestamp ,Wed Oct 18 17:03:27 2023,received-send delay ,186.488000,[msec] and size ,40960,
packet_index ,6, sent_timestamp ,Wed Oct 18 17:03:27 2023,received-send delay ,239.259000,[msec] and size ,40960,
packet_index ,7, sent_timestamp ,Wed Oct 18 17:03:27 2023,received-send delay ,206.013000,[msec] and size ,40960,
packet_index ,8, sent_timestamp ,Wed Oct 18 17:03:27 2023,received-send delay ,172.678000,[msec] and size ,40960,
packet_index ,9, sent_timestamp ,Wed Oct 18 17:03:27 2023,received-send delay ,265.469000,[msec] and size ,40960,
packet_index ,10, sent_timestamp ,Wed Oct 18 17:03:27 2023,received-send delay ,232.335000,[msec] and size ,40960,
packet_index ,11, sent_timestamp ,Wed Oct 18 17:03:28 2023,received-send delay ,198.987000,[msec] and size ,40960,
packet_index ,12, sent_timestamp ,Wed Oct 18 17:03:28 2023,received-send delay ,214.132000,[msec] and size ,40960,
packet_index ,13, sent_timestamp ,Wed Oct 18 17:03:28 2023,received-send delay ,225.317000,[msec] and size ,40960,
packet_index ,14, sent_timestamp ,Wed Oct 18 17:03:28 2023,received-send delay ,251.346000,[msec] and size ,40960,
packet_index ,15, sent_timestamp ,Wed Oct 18 17:03:28 2023,received-send delay ,280.876000,[msec] and size ,40960,
packet_index ,16, sent_timestamp ,Wed Oct 18 17:03:28 2023,received-send delay ,247.504000,[msec] and size ,40960,
packet_index ,17, sent_timestamp ,Wed Oct 18 17:03:28 2023,received-send delay ,288.269000,[msec] and size ,40960,
packet_index ,18, sent_timestamp ,Wed Oct 18 17:03:28 2023,received-send delay ,255.062000,[msec] and size ,40960,
packet_index ,19, sent_timestamp ,Wed Oct 18 17:03:28 2023,received-send delay ,306.473000,[msec] and size ,40960,
packet_index ,20, sent_timestamp ,Wed Oct 18 17:03:28 2023,received-send delay ,273.243000,[msec] and size ,40960,
packet_index ,21, sent_timestamp ,Wed Oct 18 17:03:28 2023,received-send delay ,342.039000,[msec] and size ,40960,
