start--------------------------------------------
packet_index ,1, sent_timestamp ,Wed Oct 18 20:51:37 2023,received-send delay ,914.989000,[msec] and size ,40960,
packet_index ,2, sent_timestamp ,Wed Oct 18 20:51:37 2023,received-send delay ,578.097000,[msec] and size ,40960,
packet_index ,3, sent_timestamp ,Wed Oct 18 20:51:37 2023,received-send delay ,504.173000,[msec] and size ,40960,
packet_index ,4, sent_timestamp ,Wed Oct 18 20:51:37 2023,received-send delay ,538.493000,[msec] and size ,40960,
packet_index ,5, sent_timestamp ,Wed Oct 18 20:51:37 2023,received-send delay ,491.670000,[msec] and size ,40960,
packet_index ,6, sent_timestamp ,Wed Oct 18 20:51:37 2023,received-send delay ,443.815000,[msec] and size ,40960,
packet_index ,7, sent_timestamp ,Wed Oct 18 20:51:37 2023,received-send delay ,510.336000,[msec] and size ,40960,
packet_index ,8, sent_timestamp ,Wed Oct 18 20:51:37 2023,received-send delay ,610.786000,[msec] and size ,40960,
packet_index ,9, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,627.363000,[msec] and size ,40960,
packet_index ,10, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,629.674000,[msec] and size ,40960,
packet_index ,11, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,596.296000,[msec] and size ,40960,
packet_index ,12, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,628.032000,[msec] and size ,40960,
packet_index ,13, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,651.853000,[msec] and size ,40960,
packet_index ,14, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,717.392000,[msec] and size ,40960,
packet_index ,15, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,766.528000,[msec] and size ,40960,
packet_index ,16, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,733.189000,[msec] and size ,40960,
packet_index ,17, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,737.464000,[msec] and size ,40960,
packet_index ,18, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,740.957000,[msec] and size ,40960,
packet_index ,19, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,752.847000,[msec] and size ,40960,
packet_index ,20, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,749.298000,[msec] and size ,40960,
packet_index ,21, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,760.603000,[msec] and size ,40960,
packet_index ,22, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,765.712000,[msec] and size ,40960,
packet_index ,23, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,771.130000,[msec] and size ,40960,
packet_index ,24, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,786.840000,[msec] and size ,40960,
packet_index ,25, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,803.871000,[msec] and size ,40960,
packet_index ,26, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,770.795000,[msec] and size ,40960,
packet_index ,27, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,773.701000,[msec] and size ,40960,
packet_index ,28, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,740.307000,[msec] and size ,40960,
packet_index ,29, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,706.948000,[msec] and size ,40960,
packet_index ,30, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,713.028000,[msec] and size ,40960,
packet_index ,31, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,754.110000,[msec] and size ,40960,
packet_index ,32, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,761.390000,[msec] and size ,40960,
packet_index ,33, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,728.017000,[msec] and size ,40960,
packet_index ,34, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,769.514000,[msec] and size ,40960,
packet_index ,35, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,778.397000,[msec] and size ,40960,
packet_index ,36, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,745.108000,[msec] and size ,40960,
packet_index ,37, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,746.610000,[msec] and size ,40960,
packet_index ,38, sent_timestamp ,Wed Oct 18 20:51:38 2023,received-send delay ,774.671000,[msec] and size ,40960,
packet_index ,39, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,741.433000,[msec] and size ,40960,
packet_index ,40, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,777.870000,[msec] and size ,40960,
packet_index ,41, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,836.520000,[msec] and size ,40960,
packet_index ,42, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,804.088000,[msec] and size ,40960,
packet_index ,43, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,771.237000,[msec] and size ,40960,
packet_index ,44, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,738.168000,[msec] and size ,40960,
packet_index ,45, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,806.405000,[msec] and size ,40960,
packet_index ,46, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,773.097000,[msec] and size ,40960,
packet_index ,47, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,739.767000,[msec] and size ,40960,
packet_index ,48, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,706.383000,[msec] and size ,40960,
packet_index ,49, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,672.949000,[msec] and size ,40960,
packet_index ,50, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,639.375000,[msec] and size ,40960,
packet_index ,51, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,606.006000,[msec] and size ,40960,
packet_index ,52, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,663.895000,[msec] and size ,40960,
packet_index ,53, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,630.532000,[msec] and size ,40960,
packet_index ,54, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,597.210000,[msec] and size ,40960,
packet_index ,55, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,563.871000,[msec] and size ,40960,
packet_index ,56, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,530.387000,[msec] and size ,40960,
packet_index ,57, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,640.261000,[msec] and size ,40960,
packet_index ,58, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,606.870000,[msec] and size ,40960,
packet_index ,59, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,573.414000,[msec] and size ,40960,
packet_index ,60, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,601.409000,[msec] and size ,40960,
packet_index ,61, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,568.080000,[msec] and size ,40960,
packet_index ,62, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,534.681000,[msec] and size ,40960,
packet_index ,63, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,579.947000,[msec] and size ,40960,
packet_index ,64, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,647.600000,[msec] and size ,40960,
packet_index ,65, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,614.223000,[msec] and size ,40960,
packet_index ,66, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,580.846000,[msec] and size ,40960,
packet_index ,67, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,547.496000,[msec] and size ,40960,
packet_index ,68, sent_timestamp ,Wed Oct 18 20:51:39 2023,received-send delay ,613.693000,[msec] and size ,40960,
packet_index ,69, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,580.255000,[msec] and size ,40960,
packet_index ,70, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,546.925000,[msec] and size ,40960,
packet_index ,71, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,513.467000,[msec] and size ,40960,
packet_index ,72, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,480.148000,[msec] and size ,40960,
packet_index ,73, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,540.428000,[msec] and size ,40960,
packet_index ,74, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,507.150000,[msec] and size ,40960,
packet_index ,75, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,473.754000,[msec] and size ,40960,
packet_index ,76, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,440.461000,[msec] and size ,40960,
packet_index ,77, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,407.156000,[msec] and size ,40960,
packet_index ,78, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,443.295000,[msec] and size ,40960,
packet_index ,79, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,409.988000,[msec] and size ,40960,
packet_index ,80, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,376.644000,[msec] and size ,40960,
packet_index ,81, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,420.303000,[msec] and size ,40960,
packet_index ,82, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,467.615000,[msec] and size ,40960,
packet_index ,83, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,434.196000,[msec] and size ,40960,
packet_index ,84, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,451.166000,[msec] and size ,40960,
packet_index ,85, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,456.560000,[msec] and size ,40960,
packet_index ,86, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,464.893000,[msec] and size ,40960,
packet_index ,87, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,431.538000,[msec] and size ,40960,
packet_index ,88, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,426.728000,[msec] and size ,40960,
packet_index ,89, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,393.474000,[msec] and size ,40960,
packet_index ,90, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,396.325000,[msec] and size ,40960,
packet_index ,91, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,404.802000,[msec] and size ,40960,
packet_index ,92, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,422.892000,[msec] and size ,40960,
packet_index ,93, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,389.498000,[msec] and size ,40960,
packet_index ,94, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,356.134000,[msec] and size ,40960,
packet_index ,95, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,361.765000,[msec] and size ,40960,
packet_index ,96, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,369.187000,[msec] and size ,40960,
packet_index ,97, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,335.913000,[msec] and size ,40960,
packet_index ,98, sent_timestamp ,Wed Oct 18 20:51:40 2023,received-send delay ,353.768000,[msec] and size ,40960,
packet_index ,99, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,362.893000,[msec] and size ,40960,
packet_index ,100, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,403.627000,[msec] and size ,40960,
packet_index ,101, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,406.523000,[msec] and size ,40960,
packet_index ,102, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,422.892000,[msec] and size ,40960,
packet_index ,103, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,456.774000,[msec] and size ,40960,
packet_index ,104, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,462.532000,[msec] and size ,40960,
packet_index ,105, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,466.800000,[msec] and size ,40960,
packet_index ,106, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,466.033000,[msec] and size ,40960,
packet_index ,107, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,477.366000,[msec] and size ,40960,
packet_index ,108, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,492.805000,[msec] and size ,40960,
packet_index ,109, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,459.487000,[msec] and size ,40960,
packet_index ,110, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,426.137000,[msec] and size ,40960,
packet_index ,111, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,439.443000,[msec] and size ,40960,
packet_index ,112, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,452.493000,[msec] and size ,40960,
packet_index ,113, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,419.229000,[msec] and size ,40960,
packet_index ,114, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,422.999000,[msec] and size ,40960,
packet_index ,115, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,389.679000,[msec] and size ,40960,
packet_index ,116, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,400.521000,[msec] and size ,40960,
packet_index ,117, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,406.004000,[msec] and size ,40960,
packet_index ,118, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,434.143000,[msec] and size ,40960,
packet_index ,119, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,479.251000,[msec] and size ,40960,
packet_index ,120, sent_timestamp ,Wed Oct 18 20:51:41 2023,received-send delay ,549.940000,[msec] and size ,40960,
