start--------------------------------------------
packet_index ,1, sent_timestamp ,Wed Oct 18 20:07:58 2023,received-send delay ,344.077000,[msec] and size ,40960,
packet_index ,2, sent_timestamp ,Wed Oct 18 20:07:58 2023,received-send delay ,203.826000,[msec] and size ,40960,
packet_index ,3, sent_timestamp ,Wed Oct 18 20:07:58 2023,received-send delay ,220.059000,[msec] and size ,40960,
packet_index ,4, sent_timestamp ,Wed Oct 18 20:07:58 2023,received-send delay ,192.471000,[msec] and size ,40960,
packet_index ,5, sent_timestamp ,Wed Oct 18 20:07:58 2023,received-send delay ,210.066000,[msec] and size ,40960,
packet_index ,6, sent_timestamp ,Wed Oct 18 20:07:58 2023,received-send delay ,568.038000,[msec] and size ,40960,
packet_index ,7, sent_timestamp ,Wed Oct 18 20:07:58 2023,received-send delay ,534.716000,[msec] and size ,40960,
packet_index ,8, sent_timestamp ,Wed Oct 18 20:07:58 2023,received-send delay ,547.401000,[msec] and size ,40960,
packet_index ,9, sent_timestamp ,Wed Oct 18 20:07:58 2023,received-send delay ,513.978000,[msec] and size ,40960,
packet_index ,10, sent_timestamp ,Wed Oct 18 20:07:58 2023,received-send delay ,480.516000,[msec] and size ,40960,
packet_index ,11, sent_timestamp ,Wed Oct 18 20:07:58 2023,received-send delay ,447.084000,[msec] and size ,40960,
packet_index ,12, sent_timestamp ,Wed Oct 18 20:07:58 2023,received-send delay ,413.727000,[msec] and size ,40960,
packet_index ,13, sent_timestamp ,Wed Oct 18 20:07:58 2023,received-send delay ,380.213000,[msec] and size ,40960,
packet_index ,14, sent_timestamp ,Wed Oct 18 20:07:58 2023,received-send delay ,346.765000,[msec] and size ,40960,
packet_index ,15, sent_timestamp ,Wed Oct 18 20:07:58 2023,received-send delay ,313.321000,[msec] and size ,40960,
packet_index ,16, sent_timestamp ,Wed Oct 18 20:07:58 2023,received-send delay ,279.844000,[msec] and size ,40960,
packet_index ,17, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,246.483000,[msec] and size ,40960,
packet_index ,18, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,314.478000,[msec] and size ,40960,
packet_index ,19, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,281.098000,[msec] and size ,40960,
packet_index ,20, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,383.810000,[msec] and size ,40960,
packet_index ,21, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,405.535000,[msec] and size ,40960,
packet_index ,22, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,372.126000,[msec] and size ,40960,
packet_index ,23, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,338.787000,[msec] and size ,40960,
packet_index ,24, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,305.474000,[msec] and size ,40960,
packet_index ,25, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,272.088000,[msec] and size ,40960,
packet_index ,26, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,321.235000,[msec] and size ,40960,
packet_index ,27, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,287.926000,[msec] and size ,40960,
packet_index ,28, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,254.594000,[msec] and size ,40960,
packet_index ,29, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,255.618000,[msec] and size ,40960,
packet_index ,30, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,293.149000,[msec] and size ,40960,
packet_index ,31, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,259.760000,[msec] and size ,40960,
packet_index ,32, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,226.384000,[msec] and size ,40960,
packet_index ,33, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,282.966000,[msec] and size ,40960,
packet_index ,34, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,249.638000,[msec] and size ,40960,
packet_index ,35, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,216.287000,[msec] and size ,40960,
packet_index ,36, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,182.910000,[msec] and size ,40960,
packet_index ,37, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,197.584000,[msec] and size ,40960,
packet_index ,38, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,164.259000,[msec] and size ,40960,
packet_index ,39, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,130.768000,[msec] and size ,40960,
packet_index ,40, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,142.559000,[msec] and size ,40960,
packet_index ,41, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,168.659000,[msec] and size ,40960,
packet_index ,42, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,135.395000,[msec] and size ,40960,
packet_index ,43, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,143.667000,[msec] and size ,40960,
packet_index ,44, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,169.420000,[msec] and size ,40960,
packet_index ,45, sent_timestamp ,Wed Oct 18 20:07:59 2023,received-send delay ,136.164000,[msec] and size ,40960,
packet_index ,46, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,160.735000,[msec] and size ,40960,
packet_index ,47, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,127.458000,[msec] and size ,40960,
packet_index ,48, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,137.241000,[msec] and size ,40960,
packet_index ,49, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,180.606000,[msec] and size ,40960,
packet_index ,50, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,147.407000,[msec] and size ,40960,
packet_index ,51, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,164.409000,[msec] and size ,40960,
packet_index ,52, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,167.486000,[msec] and size ,40960,
packet_index ,53, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,175.999000,[msec] and size ,40960,
packet_index ,54, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,193.696000,[msec] and size ,40960,
packet_index ,55, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,160.387000,[msec] and size ,40960,
packet_index ,56, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,156.514000,[msec] and size ,40960,
packet_index ,57, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,153.285000,[msec] and size ,40960,
packet_index ,58, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,156.042000,[msec] and size ,40960,
packet_index ,59, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,169.393000,[msec] and size ,40960,
packet_index ,60, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,177.703000,[msec] and size ,40960,
packet_index ,61, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,144.369000,[msec] and size ,40960,
packet_index ,62, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,156.164000,[msec] and size ,40960,
packet_index ,63, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,171.905000,[msec] and size ,40960,
packet_index ,64, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,179.235000,[msec] and size ,40960,
packet_index ,65, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,145.991000,[msec] and size ,40960,
packet_index ,66, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,154.253000,[msec] and size ,40960,
packet_index ,67, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,150.962000,[msec] and size ,40960,
packet_index ,68, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,161.722000,[msec] and size ,40960,
packet_index ,69, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,157.532000,[msec] and size ,40960,
packet_index ,70, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,124.141000,[msec] and size ,40960,
packet_index ,71, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,130.957000,[msec] and size ,40960,
packet_index ,72, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,133.654000,[msec] and size ,40960,
packet_index ,73, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,132.004000,[msec] and size ,40960,
packet_index ,74, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,131.257000,[msec] and size ,40960,
packet_index ,75, sent_timestamp ,Wed Oct 18 20:08:00 2023,received-send delay ,131.482000,[msec] and size ,40960,
packet_index ,76, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,129.657000,[msec] and size ,40960,
packet_index ,77, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,130.060000,[msec] and size ,40960,
packet_index ,78, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,134.778000,[msec] and size ,40960,
packet_index ,79, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,134.062000,[msec] and size ,40960,
packet_index ,80, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,100.705000,[msec] and size ,40960,
packet_index ,81, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,101.413000,[msec] and size ,40960,
packet_index ,82, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,108.074000,[msec] and size ,40960,
packet_index ,83, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,130.372000,[msec] and size ,40960,
packet_index ,84, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,139.364000,[msec] and size ,40960,
packet_index ,85, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,106.073000,[msec] and size ,40960,
packet_index ,86, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,117.661000,[msec] and size ,40960,
packet_index ,87, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,125.416000,[msec] and size ,40960,
packet_index ,88, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,123.600000,[msec] and size ,40960,
packet_index ,89, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,136.796000,[msec] and size ,40960,
packet_index ,90, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,138.108000,[msec] and size ,40960,
packet_index ,91, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,145.484000,[msec] and size ,40960,
packet_index ,92, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,112.125000,[msec] and size ,40960,
packet_index ,93, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,113.686000,[msec] and size ,40960,
packet_index ,94, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,135.121000,[msec] and size ,40960,
packet_index ,95, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,132.281000,[msec] and size ,40960,
packet_index ,96, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,135.648000,[msec] and size ,40960,
packet_index ,97, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,102.346000,[msec] and size ,40960,
packet_index ,98, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,102.607000,[msec] and size ,40960,
packet_index ,99, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,102.575000,[msec] and size ,40960,
packet_index ,100, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,115.437000,[msec] and size ,40960,
packet_index ,101, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,127.014000,[msec] and size ,40960,
packet_index ,102, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,144.547000,[msec] and size ,40960,
packet_index ,103, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,152.350000,[msec] and size ,40960,
packet_index ,104, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,119.080000,[msec] and size ,40960,
packet_index ,105, sent_timestamp ,Wed Oct 18 20:08:01 2023,received-send delay ,114.728000,[msec] and size ,40960,
packet_index ,106, sent_timestamp ,Wed Oct 18 20:08:02 2023,received-send delay ,129.305000,[msec] and size ,40960,
packet_index ,107, sent_timestamp ,Wed Oct 18 20:08:02 2023,received-send delay ,125.892000,[msec] and size ,40960,
packet_index ,108, sent_timestamp ,Wed Oct 18 20:08:02 2023,received-send delay ,125.418000,[msec] and size ,40960,
packet_index ,109, sent_timestamp ,Wed Oct 18 20:08:02 2023,received-send delay ,136.965000,[msec] and size ,40960,
packet_index ,110, sent_timestamp ,Wed Oct 18 20:08:02 2023,received-send delay ,137.137000,[msec] and size ,40960,
packet_index ,111, sent_timestamp ,Wed Oct 18 20:08:02 2023,received-send delay ,103.879000,[msec] and size ,40960,
packet_index ,112, sent_timestamp ,Wed Oct 18 20:08:02 2023,received-send delay ,111.016000,[msec] and size ,40960,
packet_index ,113, sent_timestamp ,Wed Oct 18 20:08:02 2023,received-send delay ,126.463000,[msec] and size ,40960,
packet_index ,114, sent_timestamp ,Wed Oct 18 20:08:02 2023,received-send delay ,131.597000,[msec] and size ,40960,
packet_index ,115, sent_timestamp ,Wed Oct 18 20:08:02 2023,received-send delay ,98.341000,[msec] and size ,40960,
packet_index ,116, sent_timestamp ,Wed Oct 18 20:08:02 2023,received-send delay ,95.022000,[msec] and size ,40960,
packet_index ,117, sent_timestamp ,Wed Oct 18 20:08:02 2023,received-send delay ,102.784000,[msec] and size ,40960,
