start--------------------------------------------
packet_index ,1, sent_timestamp ,Wed Oct 18 19:26:06 2023,received-send delay ,405.922000,[msec] and size ,40960,
packet_index ,2, sent_timestamp ,Wed Oct 18 19:26:06 2023,received-send delay ,286.308000,[msec] and size ,40960,
packet_index ,3, sent_timestamp ,Wed Oct 18 19:26:06 2023,received-send delay ,248.690000,[msec] and size ,40960,
packet_index ,4, sent_timestamp ,Wed Oct 18 19:26:06 2023,received-send delay ,226.675000,[msec] and size ,40960,
packet_index ,5, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,200.496000,[msec] and size ,40960,
packet_index ,6, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,167.199000,[msec] and size ,40960,
packet_index ,7, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,192.808000,[msec] and size ,40960,
packet_index ,8, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,159.513000,[msec] and size ,40960,
packet_index ,9, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,172.296000,[msec] and size ,40960,
packet_index ,10, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,204.725000,[msec] and size ,40960,
packet_index ,11, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,170.938000,[msec] and size ,40960,
packet_index ,12, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,186.261000,[msec] and size ,40960,
packet_index ,13, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,212.559000,[msec] and size ,40960,
packet_index ,14, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,179.237000,[msec] and size ,40960,
packet_index ,15, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,240.791000,[msec] and size ,40960,
packet_index ,16, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,254.502000,[msec] and size ,40960,
packet_index ,17, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,221.267000,[msec] and size ,40960,
packet_index ,18, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,248.982000,[msec] and size ,40960,
packet_index ,19, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,215.676000,[msec] and size ,40960,
packet_index ,20, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,222.115000,[msec] and size ,40960,
packet_index ,21, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,188.687000,[msec] and size ,40960,
packet_index ,22, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,242.792000,[msec] and size ,40960,
packet_index ,23, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,209.544000,[msec] and size ,40960,
packet_index ,24, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,176.139000,[msec] and size ,40960,
packet_index ,25, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,336.154000,[msec] and size ,40960,
packet_index ,26, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,450.782000,[msec] and size ,40960,
packet_index ,27, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,417.333000,[msec] and size ,40960,
packet_index ,28, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,383.894000,[msec] and size ,40960,
packet_index ,29, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,350.484000,[msec] and size ,40960,
packet_index ,30, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,317.052000,[msec] and size ,40960,
packet_index ,31, sent_timestamp ,Wed Oct 18 19:26:07 2023,received-send delay ,283.627000,[msec] and size ,40960,
packet_index ,32, sent_timestamp ,Wed Oct 18 19:26:08 2023,received-send delay ,250.231000,[msec] and size ,40960,
packet_index ,33, sent_timestamp ,Wed Oct 18 19:26:08 2023,received-send delay ,295.215000,[msec] and size ,40960,
packet_index ,34, sent_timestamp ,Wed Oct 18 19:26:08 2023,received-send delay ,261.776000,[msec] and size ,40960,
packet_index ,35, sent_timestamp ,Wed Oct 18 19:26:08 2023,received-send delay ,343.004000,[msec] and size ,40960,
packet_index ,36, sent_timestamp ,Wed Oct 18 19:26:08 2023,received-send delay ,412.297000,[msec] and size ,40960,
packet_index ,37, sent_timestamp ,Wed Oct 18 19:26:08 2023,received-send delay ,378.954000,[msec] and size ,40960,
packet_index ,38, sent_timestamp ,Wed Oct 18 19:26:08 2023,received-send delay ,345.522000,[msec] and size ,40960,
packet_index ,39, sent_timestamp ,Wed Oct 18 19:26:08 2023,received-send delay ,312.078000,[msec] and size ,40960,
packet_index ,40, sent_timestamp ,Wed Oct 18 19:26:08 2023,received-send delay ,278.766000,[msec] and size ,40960,
packet_index ,41, sent_timestamp ,Wed Oct 18 19:26:08 2023,received-send delay ,245.402000,[msec] and size ,40960,
packet_index ,42, sent_timestamp ,Wed Oct 18 19:26:08 2023,received-send delay ,338.145000,[msec] and size ,40960,
packet_index ,43, sent_timestamp ,Wed Oct 18 19:26:08 2023,received-send delay ,304.853000,[msec] and size ,40960,
packet_index ,44, sent_timestamp ,Wed Oct 18 19:26:08 2023,received-send delay ,271.451000,[msec] and size ,40960,
packet_index ,45, sent_timestamp ,Wed Oct 18 19:26:08 2023,received-send delay ,367.923000,[msec] and size ,40960,
packet_index ,46, sent_timestamp ,Wed Oct 18 19:26:08 2023,received-send delay ,334.709000,[msec] and size ,40960,
