Received frame with send_timestamp ,1687241669.9871078, E2E delay ,0.5554792881011963, and size ,327680,
Received frame with send_timestamp ,1687241670.292347, E2E delay ,0.42781519889831543, and size ,327680,
Received frame with send_timestamp ,1687241670.347192, E2E delay ,0.5613992214202881, and size ,327680,
Received frame with send_timestamp ,1687241670.4151244, E2E delay ,0.6530106067657471, and size ,327680,
Received frame with send_timestamp ,1687241670.450791, E2E delay ,0.7525839805603027, and size ,327680,
Received frame with send_timestamp ,1687241670.4927726, E2E delay ,0.8244972229003906, and size ,327680,
Received frame with send_timestamp ,1687241670.5286193, E2E delay ,0.8692948818206787, and size ,327680,
Received frame with send_timestamp ,1687241670.5647116, E2E delay ,0.9344930648803711, and size ,327680,
Received frame with send_timestamp ,1687241670.5994682, E2E delay ,0.9796555042266846, and size ,327680,
Received frame with send_timestamp ,1687241670.634358, E2E delay ,1.0147473812103271, and size ,327680,
Received frame with send_timestamp ,1687241670.6789887, E2E delay ,1.0554115772247314, and size ,327680,
Received frame with send_timestamp ,1687241670.7153842, E2E delay ,1.1160144805908203, and size ,327680,
Received frame with send_timestamp ,1687241670.7513578, E2E delay ,1.170400857925415, and size ,327680,
Received frame with send_timestamp ,1687241670.7870064, E2E delay ,1.2744128704071045, and size ,327680,
Received frame with send_timestamp ,1687241670.8221924, E2E delay ,1.3395726680755615, and size ,327680,
Received frame with send_timestamp ,1687241670.8576362, E2E delay ,1.4122400283813477, and size ,327680,
Received frame with send_timestamp ,1687241670.8948221, E2E delay ,1.485522985458374, and size ,327680,
Received frame with send_timestamp ,1687241670.9312565, E2E delay ,1.5472533702850342, and size ,327680,
Received frame with send_timestamp ,1687241670.9674253, E2E delay ,1.63798189163208, and size ,327680,
Received frame with send_timestamp ,1687241671.0036807, E2E delay ,1.6870033740997314, and size ,327680,
Received frame with send_timestamp ,1687241671.0400293, E2E delay ,1.7976086139678955, and size ,327680,
Received frame with send_timestamp ,1687241671.075001, E2E delay ,1.8698451519012451, and size ,327680,
Received frame with send_timestamp ,1687241671.1091642, E2E delay ,1.969454288482666, and size ,327680,
Received frame with send_timestamp ,1687241671.1433828, E2E delay ,2.1287856101989746, and size ,327680,
Received frame with send_timestamp ,1687241671.177732, E2E delay ,2.2037439346313477, and size ,327680,
Received frame with send_timestamp ,1687241671.28399, E2E delay ,2.1963953971862793, and size ,327680,
Received frame with send_timestamp ,1687241671.3706803, E2E delay ,2.182192325592041, and size ,327680,
Received frame with send_timestamp ,1687241671.4648712, E2E delay ,2.18782377243042, and size ,327680,
Received frame with send_timestamp ,1687241671.5583856, E2E delay ,2.1602513790130615, and size ,327680,
Received frame with send_timestamp ,1687241671.6804879, E2E delay ,2.1599133014678955, and size ,327680,
Received frame with send_timestamp ,1687241671.9015648, E2E delay ,2.0516910552978516, and size ,327680,
Received frame with send_timestamp ,1687241671.9977965, E2E delay ,2.0345892906188965, and size ,327680,
Received frame with send_timestamp ,1687241672.0482018, E2E delay ,2.0635266304016113, and size ,327680,
Received frame with send_timestamp ,1687241672.082402, E2E delay ,2.135227680206299, and size ,327680,
Received frame with send_timestamp ,1687241672.1381354, E2E delay ,2.159468173980713, and size ,327680,
Received frame with send_timestamp ,1687241672.2449536, E2E delay ,2.151995897293091, and size ,327680,
Received frame with send_timestamp ,1687241672.4335737, E2E delay ,2.079861879348755, and size ,327680,
Received frame with send_timestamp ,1687241672.5085928, E2E delay ,2.1098506450653076, and size ,327680,
Received frame with send_timestamp ,1687241672.5900986, E2E delay ,2.129504442214966, and size ,327680,
Received frame with send_timestamp ,1687241672.639154, E2E delay ,2.193387508392334, and size ,327680,
Received frame with send_timestamp ,1687241672.7581933, E2E delay ,2.1627180576324463, and size ,327680,
Received frame with send_timestamp ,1687241672.8527436, E2E delay ,2.160454750061035, and size ,327680,
Received frame with send_timestamp ,1687241673.0382156, E2E delay ,2.032721996307373, and size ,327680,
Received frame with send_timestamp ,1687241673.1597927, E2E delay ,2.0146050453186035, and size ,327680,
Received frame with send_timestamp ,1687241673.321691, E2E delay ,1.9614439010620117, and size ,327680,
Received frame with send_timestamp ,1687241673.4275682, E2E delay ,1.9177210330963135, and size ,327680,
Received frame with send_timestamp ,1687241673.514315, E2E delay ,1.9152154922485352, and size ,327680,
Received frame with send_timestamp ,1687241673.60625, E2E delay ,1.904832363128662, and size ,327680,
Received frame with send_timestamp ,1687241673.7104528, E2E delay ,1.866471290588379, and size ,327680,
Received frame with send_timestamp ,1687241673.813588, E2E delay ,1.8299214839935303, and size ,327680,
Received frame with send_timestamp ,1687241673.926859, E2E delay ,1.7944986820220947, and size ,327680,
Received frame with send_timestamp ,1687241674.0257387, E2E delay ,1.7622590065002441, and size ,327680,
Received frame with send_timestamp ,1687241674.1130989, E2E delay ,1.7862193584442139, and size ,327680,
Received frame with send_timestamp ,1687241674.1732893, E2E delay ,1.836399793624878, and size ,327680,
Received frame with send_timestamp ,1687241674.2512596, E2E delay ,1.8675436973571777, and size ,327680,
Received frame with send_timestamp ,1687241674.3377593, E2E delay ,1.850625991821289, and size ,327680,
Received frame with send_timestamp ,1687241674.48006, E2E delay ,1.7986071109771729, and size ,327680,
Received frame with send_timestamp ,1687241674.5472836, E2E delay ,1.8188872337341309, and size ,327680,
Received frame with send_timestamp ,1687241674.6509566, E2E delay ,1.791287899017334, and size ,327680,
Received frame with send_timestamp ,1687241674.7971601, E2E delay ,1.7283275127410889, and size ,327680,
Received frame with send_timestamp ,1687241674.8829489, E2E delay ,1.729686975479126, and size ,327680,
Received frame with send_timestamp ,1687241674.9335103, E2E delay ,1.7717938423156738, and size ,327680,
Received frame with send_timestamp ,1687241675.1444159, E2E delay ,1.6748008728027344, and size ,327680,
Received frame with send_timestamp ,1687241675.208603, E2E delay ,1.6985032558441162, and size ,327680,
Received frame with send_timestamp ,1687241675.2742472, E2E delay ,1.7543587684631348, and size ,327680,
Received frame with send_timestamp ,1687241675.398645, E2E delay ,1.7402491569519043, and size ,327680,
Received frame with send_timestamp ,1687241675.4553285, E2E delay ,1.7592334747314453, and size ,327680,
Received frame with send_timestamp ,1687241675.5092556, E2E delay ,1.8002095222473145, and size ,327680,
Received frame with send_timestamp ,1687241675.5710669, E2E delay ,1.8111329078674316, and size ,327680,
Received frame with send_timestamp ,1687241675.660676, E2E delay ,1.808288335800171, and size ,327680,
Received frame with send_timestamp ,1687241675.7412362, E2E delay ,1.8142778873443604, and size ,327680,
Received frame with send_timestamp ,1687241675.9326243, E2E delay ,1.6934609413146973, and size ,327680,
Received frame with send_timestamp ,1687241675.9819705, E2E delay ,1.7286179065704346, and size ,327680,
Received frame with send_timestamp ,1687241676.021601, E2E delay ,1.7600157260894775, and size ,327680,
Received frame with send_timestamp ,1687241676.0732338, E2E delay ,1.776773452758789, and size ,327680,
Received frame with send_timestamp ,1687241676.1524303, E2E delay ,1.7728571891784668, and size ,327680,
Received frame with send_timestamp ,1687241676.2341003, E2E delay ,1.7651638984680176, and size ,327680,
Received frame with send_timestamp ,1687241676.3126843, E2E delay ,1.768810749053955, and size ,327680,
Received frame with send_timestamp ,1687241676.4224987, E2E delay ,1.7336797714233398, and size ,327680,
Received frame with send_timestamp ,1687241676.5030043, E2E delay ,1.7189302444458008, and size ,327680,
Received frame with send_timestamp ,1687241676.594748, E2E delay ,1.6967887878417969, and size ,327680,
Received frame with send_timestamp ,1687241676.6879058, E2E delay ,1.6846628189086914, and size ,327680,
Received frame with send_timestamp ,1687241676.7597592, E2E delay ,1.6863899230957031, and size ,327680,
Received frame with send_timestamp ,1687241676.828838, E2E delay ,1.689279317855835, and size ,327680,
Received frame with send_timestamp ,1687241676.9476743, E2E delay ,1.6569077968597412, and size ,327680,
Received frame with send_timestamp ,1687241677.0525424, E2E delay ,1.6261403560638428, and size ,327680,
Received frame with send_timestamp ,1687241677.1483052, E2E delay ,1.6180148124694824, and size ,327680,
Received frame with send_timestamp ,1687241677.2886994, E2E delay ,1.5541529655456543, and size ,327680,
Received frame with send_timestamp ,1687241677.3798618, E2E delay ,1.544001817703247, and size ,327680,
Received frame with send_timestamp ,1687241677.4458873, E2E delay ,1.6343302726745605, and size ,327680,
Received frame with send_timestamp ,1687241677.5517344, E2E delay ,1.663806438446045, and size ,327680,
Received frame with send_timestamp ,1687241677.6757762, E2E delay ,1.6686193943023682, and size ,327680,
Received frame with send_timestamp ,1687241677.7372737, E2E delay ,1.7758126258850098, and size ,327680,
Received frame with send_timestamp ,1687241677.7842796, E2E delay ,1.842668056488037, and size ,327680,
Received frame with send_timestamp ,1687241677.8472025, E2E delay ,1.9239296913146973, and size ,327680,
Received frame with send_timestamp ,1687241677.9052742, E2E delay ,1.963629961013794, and size ,327680,
Received frame with send_timestamp ,1687241678.049863, E2E delay ,1.9469356536865234, and size ,327680,
Received frame with send_timestamp ,1687241678.099857, E2E delay ,2.0011954307556152, and size ,327680,
Received frame with send_timestamp ,1687241678.1733232, E2E delay ,2.0255966186523438, and size ,327680,
Received frame with send_timestamp ,1687241678.2160804, E2E delay ,2.0763299465179443, and size ,327680,
Received frame with send_timestamp ,1687241678.2894125, E2E delay ,2.0872058868408203, and size ,327680,
Received frame with send_timestamp ,1687241678.3535626, E2E delay ,2.098215103149414, and size ,327680,
Received frame with send_timestamp ,1687241678.4059129, E2E delay ,2.1465039253234863, and size ,327680,
Received frame with send_timestamp ,1687241678.492063, E2E delay ,2.159665107727051, and size ,327680,
Received frame with send_timestamp ,1687241678.5628037, E2E delay ,2.1944875717163086, and size ,327680,
Received frame with send_timestamp ,1687241678.6997514, E2E delay ,2.155029296875, and size ,327680,
Received frame with send_timestamp ,1687241678.782026, E2E delay ,2.180654764175415, and size ,327680,
Received frame with send_timestamp ,1687241678.8464267, E2E delay ,2.205575466156006, and size ,327680,
Received frame with send_timestamp ,1687241678.899702, E2E delay ,2.3014745712280273, and size ,327680,
Received frame with send_timestamp ,1687241679.0243495, E2E delay ,2.2919485569000244, and size ,327680,
Received frame with send_timestamp ,1687241679.1204872, E2E delay ,2.2809770107269287, and size ,327680,
Received frame with send_timestamp ,1687241679.2087061, E2E delay ,2.2656376361846924, and size ,327680,
Received frame with send_timestamp ,1687241679.3781204, E2E delay ,2.169534206390381, and size ,327680,
Received frame with send_timestamp ,1687241679.5393908, E2E delay ,2.0857291221618652, and size ,327680,
Received frame with send_timestamp ,1687241679.804916, E2E delay ,1.9457473754882812, and size ,327680,
