start--------------------------------------------
packet_index ,1, sent_timestamp ,1689140564.3244798, received_timestamp,1689140564.6861525,received-send delay ,0.36167263984680176, and size ,70000,
packet_index ,2, sent_timestamp ,1689140564.6660273, received_timestamp,1689140564.7783196,received-send delay ,0.11229228973388672, and size ,70000,
packet_index ,3, sent_timestamp ,1689140564.7580059, received_timestamp,1689140564.8365846,received-send delay ,0.07857871055603027, and size ,70000,
packet_index ,4, sent_timestamp ,1689140564.8163517, received_timestamp,1689140564.89943,received-send delay ,0.08307838439941406, and size ,70000,
packet_index ,5, sent_timestamp ,1689140564.8791163, received_timestamp,1689140564.9564571,received-send delay ,0.07734084129333496, and size ,70000,
packet_index ,6, sent_timestamp ,1689140564.9361506, received_timestamp,1689140565.0182388,received-send delay ,0.08208823204040527, and size ,70000,
packet_index ,7, sent_timestamp ,1689140564.9979277, received_timestamp,1689140565.0913255,received-send delay ,0.09339785575866699, and size ,70000,
packet_index ,8, sent_timestamp ,1689140565.071014, received_timestamp,1689140565.1851408,received-send delay ,0.11412692070007324, and size ,70000,
packet_index ,9, sent_timestamp ,1689140565.164829, received_timestamp,1689140565.2382882,received-send delay ,0.07345914840698242, and size ,70000,
packet_index ,10, sent_timestamp ,1689140565.2179832, received_timestamp,1689140565.2967887,received-send delay ,0.07880544662475586, and size ,70000,
packet_index ,11, sent_timestamp ,1689140565.276597, received_timestamp,1689140565.3602765,received-send delay ,0.0836794376373291, and size ,70000,
packet_index ,12, sent_timestamp ,1689140565.3399863, received_timestamp,1689140565.4116323,received-send delay ,0.07164597511291504, and size ,70000,
packet_index ,13, sent_timestamp ,1689140565.3913012, received_timestamp,1689140565.4678981,received-send delay ,0.07659697532653809, and size ,70000,
packet_index ,14, sent_timestamp ,1689140565.4476085, received_timestamp,1689140565.5352576,received-send delay ,0.08764910697937012, and size ,70000,
packet_index ,15, sent_timestamp ,1689140565.514954, received_timestamp,1689140565.6042898,received-send delay ,0.08933568000793457, and size ,70000,
packet_index ,16, sent_timestamp ,1689140565.583985, received_timestamp,1689140565.661354,received-send delay ,0.07736897468566895, and size ,70000,
packet_index ,17, sent_timestamp ,1689140565.641063, received_timestamp,1689140565.7281373,received-send delay ,0.08707427978515625, and size ,70000,
packet_index ,18, sent_timestamp ,1689140565.707924, received_timestamp,1689140565.8194041,received-send delay ,0.1114802360534668, and size ,70000,
packet_index ,19, sent_timestamp ,1689140565.799136, received_timestamp,1689140565.8819056,received-send delay ,0.08276963233947754, and size ,70000,
packet_index ,20, sent_timestamp ,1689140565.861598, received_timestamp,1689140565.9250958,received-send delay ,0.06349778175354004, and size ,70000,
