start--------------------------------------------
Received frame with timestamp ,1687241669.99, E2E delay ,0.386556148529, and size ,327680,
Received frame with timestamp ,1687241670.29, E2E delay ,0.153994083405, and size ,327680,
Received frame with timestamp ,1687241670.35, E2E delay ,0.208529949188, and size ,327680,
Received frame with timestamp ,1687241670.42, E2E delay ,0.320647478104, and size ,327680,
Received frame with timestamp ,1687241670.45, E2E delay ,0.479931116104, and size ,327680,
Received frame with timestamp ,1687241670.49, E2E delay ,0.599786520004, and size ,327680,
Received frame with timestamp ,1687241670.53, E2E delay ,0.719468593597, and size ,327680,
Received frame with timestamp ,1687241670.56, E2E delay ,0.7806224823, and size ,327680,
Received frame with timestamp ,1687241670.6, E2E delay ,0.843940734863, and size ,327680,
Received frame with timestamp ,1687241670.63, E2E delay ,0.900261163712, and size ,327680,
Received frame with timestamp ,1687241670.68, E2E delay ,0.965687274933, and size ,327680,
Received frame with timestamp ,1687241670.72, E2E delay ,0.992149829865, and size ,327680,
Received frame with timestamp ,1687241670.75, E2E delay ,1.05499410629, and size ,327680,
Received frame with timestamp ,1687241670.79, E2E delay ,1.11566066742, and size ,327680,
Received frame with timestamp ,1687241670.82, E2E delay ,1.14157366753, and size ,327680,
Received frame with timestamp ,1687241670.86, E2E delay ,1.22576069832, and size ,327680,
Received frame with timestamp ,1687241670.89, E2E delay ,1.29689192772, and size ,327680,
Received frame with timestamp ,1687241670.93, E2E delay ,1.36808753014, and size ,327680,
Received frame with timestamp ,1687241670.97, E2E delay ,1.47068953514, and size ,327680,
Received frame with timestamp ,1687241671.0, E2E delay ,1.50092220306, and size ,327680,
Received frame with timestamp ,1687241671.04, E2E delay ,1.58205676079, and size ,327680,
Received frame with timestamp ,1687241671.08, E2E delay ,1.64466404915, and size ,327680,
Received frame with timestamp ,1687241671.11, E2E delay ,1.71011781693, and size ,327680,
Received frame with timestamp ,1687241671.14, E2E delay ,1.8585293293, and size ,327680,
Received frame with timestamp ,1687241671.18, E2E delay ,1.89371705055, and size ,327680,
Received frame with timestamp ,1687241671.28, E2E delay ,1.9851360321, and size ,327680,
Received frame with timestamp ,1687241671.37, E2E delay ,2.02769970894, and size ,327680,
Received frame with timestamp ,1687241671.46, E2E delay ,2.0292737484, and size ,327680,
Received frame with timestamp ,1687241671.56, E2E delay ,2.02523040771, and size ,327680,
Received frame with timestamp ,1687241671.68, E2E delay ,1.97407007217, and size ,327680,
Received frame with timestamp ,1687241671.9, E2E delay ,1.8667652607, and size ,327680,
Received frame with timestamp ,1687241672.0, E2E delay ,1.84865641594, and size ,327680,
Received frame with timestamp ,1687241672.05, E2E delay ,1.92239713669, and size ,327680,
Received frame with timestamp ,1687241672.08, E2E delay ,1.96413207054, and size ,327680,
Received frame with timestamp ,1687241672.14, E2E delay ,2.00763654709, and size ,327680,
Received frame with timestamp ,1687241672.24, E2E delay ,1.9935324192, and size ,327680,
Received frame with timestamp ,1687241672.43, E2E delay ,1.88605237007, and size ,327680,
Received frame with timestamp ,1687241672.51, E2E delay ,1.91558814049, and size ,327680,
Received frame with timestamp ,1687241672.59, E2E delay ,1.91902947426, and size ,327680,
Received frame with timestamp ,1687241672.64, E2E delay ,1.98401594162, and size ,327680,
Received frame with timestamp ,1687241672.76, E2E delay ,1.98188376427, and size ,327680,
Received frame with timestamp ,1687241672.85, E2E delay ,1.97986245155, and size ,327680,
Received frame with timestamp ,1687241673.04, E2E delay ,1.88599038124, and size ,327680,
Received frame with timestamp ,1687241673.16, E2E delay ,1.8674993515, and size ,327680,
Received frame with timestamp ,1687241673.32, E2E delay ,1.81101989746, and size ,327680,
Received frame with timestamp ,1687241673.43, E2E delay ,1.7676448822, and size ,327680,
Received frame with timestamp ,1687241673.51, E2E delay ,1.77944517136, and size ,327680,
Received frame with timestamp ,1687241673.61, E2E delay ,1.78823900223, and size ,327680,
Received frame with timestamp ,1687241673.71, E2E delay ,1.74570012093, and size ,327680,
Received frame with timestamp ,1687241673.81, E2E delay ,1.72674703598, and size ,327680,
Received frame with timestamp ,1687241673.93, E2E delay ,1.67693305016, and size ,327680,
Received frame with timestamp ,1687241674.03, E2E delay ,1.65536117554, and size ,327680,
Received frame with timestamp ,1687241674.11, E2E delay ,1.62991309166, and size ,327680,
Received frame with timestamp ,1687241674.17, E2E delay ,1.63147258759, and size ,327680,
Received frame with timestamp ,1687241674.25, E2E delay ,1.67707443237, and size ,327680,
Received frame with timestamp ,1687241674.34, E2E delay ,1.67131781578, and size ,327680,
Received frame with timestamp ,1687241674.48, E2E delay ,1.63126897812, and size ,327680,
Received frame with timestamp ,1687241674.55, E2E delay ,1.65823626518, and size ,327680,
Received frame with timestamp ,1687241674.65, E2E delay ,1.6405184269, and size ,327680,
Received frame with timestamp ,1687241674.8, E2E delay ,1.59864878654, and size ,327680,
Received frame with timestamp ,1687241674.88, E2E delay ,1.58427715302, and size ,327680,
Received frame with timestamp ,1687241674.93, E2E delay ,1.63038277626, and size ,327680,
Received frame with timestamp ,1687241675.14, E2E delay ,1.48067212105, and size ,327680,
Received frame with timestamp ,1687241675.21, E2E delay ,1.49863409996, and size ,327680,
Received frame with timestamp ,1687241675.27, E2E delay ,1.5289747715, and size ,327680,
Received frame with timestamp ,1687241675.4, E2E delay ,1.522742033, and size ,327680,
Received frame with timestamp ,1687241675.46, E2E delay ,1.56711959839, and size ,327680,
