start--------------------------------------------
Received frame with timestamp ,1687243012.42, E2E delay ,0.474063158035, and size ,327680,
Received frame with timestamp ,1687243012.77, E2E delay ,0.200239181519, and size ,327680,
Received frame with timestamp ,1687243012.85, E2E delay ,0.190713644028, and size ,327680,
Received frame with timestamp ,1687243012.9, E2E delay ,0.277951955795, and size ,327680,
Received frame with timestamp ,1687243012.97, E2E delay ,0.340762615204, and size ,327680,
Received frame with timestamp ,1687243013.03, E2E delay ,0.488457918167, and size ,327680,
Received frame with timestamp ,1687243013.1, E2E delay ,0.513715267181, and size ,327680,
Received frame with timestamp ,1687243013.16, E2E delay ,0.601876974106, and size ,327680,
Received frame with timestamp ,1687243013.23, E2E delay ,0.669936418533, and size ,327680,
Received frame with timestamp ,1687243013.28, E2E delay ,0.845988988876, and size ,327680,
Received frame with timestamp ,1687243013.33, E2E delay ,1.03535842896, and size ,327680,
Received frame with timestamp ,1687243013.47, E2E delay ,1.10724544525, and size ,327680,
Received frame with timestamp ,1687243013.54, E2E delay ,1.25635933876, and size ,327680,
Received frame with timestamp ,1687243013.58, E2E delay ,1.27524185181, and size ,327680,
Received frame with timestamp ,1687243013.63, E2E delay ,1.36363530159, and size ,327680,
Received frame with timestamp ,1687243013.69, E2E delay ,1.43897390366, and size ,327680,
Received frame with timestamp ,1687243013.75, E2E delay ,1.48127889633, and size ,327680,
Received frame with timestamp ,1687243013.8, E2E delay ,1.51768541336, and size ,327680,
Received frame with timestamp ,1687243013.86, E2E delay ,1.52592611313, and size ,327680,
Received frame with timestamp ,1687243013.9, E2E delay ,1.58751702309, and size ,327680,
Received frame with timestamp ,1687243014.05, E2E delay ,1.57960295677, and size ,327680,
Received frame with timestamp ,1687243014.12, E2E delay ,1.58845472336, and size ,327680,
Received frame with timestamp ,1687243014.19, E2E delay ,1.67343354225, and size ,327680,
Received frame with timestamp ,1687243014.29, E2E delay ,1.63828897476, and size ,327680,
Received frame with timestamp ,1687243014.33, E2E delay ,1.7271194458, and size ,327680,
Received frame with timestamp ,1687243014.36, E2E delay ,1.76067781448, and size ,327680,
Received frame with timestamp ,1687243014.42, E2E delay ,1.79567861557, and size ,327680,
Received frame with timestamp ,1687243014.51, E2E delay ,1.78650856018, and size ,327680,
Received frame with timestamp ,1687243014.54, E2E delay ,1.83787322044, and size ,327680,
Received frame with timestamp ,1687243014.58, E2E delay ,1.90403747559, and size ,327680,
Received frame with timestamp ,1687243014.64, E2E delay ,1.92184185982, and size ,327680,
Received frame with timestamp ,1687243014.86, E2E delay ,1.81842255592, and size ,327680,
Received frame with timestamp ,1687243014.91, E2E delay ,1.82893061638, and size ,327680,
Received frame with timestamp ,1687243014.97, E2E delay ,1.83379745483, and size ,327680,
Received frame with timestamp ,1687243015.11, E2E delay ,1.81005764008, and size ,327680,
Received frame with timestamp ,1687243015.2, E2E delay ,1.8139398098, and size ,327680,
Received frame with timestamp ,1687243015.28, E2E delay ,1.85313177109, and size ,327680,
Received frame with timestamp ,1687243015.36, E2E delay ,1.87411832809, and size ,327680,
Received frame with timestamp ,1687243015.45, E2E delay ,1.88008570671, and size ,327680,
Received frame with timestamp ,1687243015.61, E2E delay ,1.80591821671, and size ,327680,
Received frame with timestamp ,1687243015.68, E2E delay ,1.84002757072, and size ,327680,
Received frame with timestamp ,1687243015.83, E2E delay ,1.82960057259, and size ,327680,
Received frame with timestamp ,1687243015.9, E2E delay ,1.87929987907, and size ,327680,
Received frame with timestamp ,1687243016.07, E2E delay ,1.77291750908, and size ,327680,
Received frame with timestamp ,1687243016.13, E2E delay ,1.86247444153, and size ,327680,
Received frame with timestamp ,1687243016.19, E2E delay ,1.86321401596, and size ,327680,
Received frame with timestamp ,1687243016.27, E2E delay ,1.8944170475, and size ,327680,
Received frame with timestamp ,1687243016.33, E2E delay ,1.97872567177, and size ,327680,
Received frame with timestamp ,1687243016.46, E2E delay ,1.9805316925, and size ,327680,
Received frame with timestamp ,1687243016.53, E2E delay ,1.97215819359, and size ,327680,
Received frame with timestamp ,1687243016.76, E2E delay ,1.8636534214, and size ,327680,
Received frame with timestamp ,1687243016.83, E2E delay ,1.9066400528, and size ,327680,
Received frame with timestamp ,1687243016.87, E2E delay ,1.99744343758, and size ,327680,
Received frame with timestamp ,1687243016.94, E2E delay ,2.00637722015, and size ,327680,
Received frame with timestamp ,1687243017.0, E2E delay ,2.08911037445, and size ,327680,
Received frame with timestamp ,1687243017.05, E2E delay ,2.15106010437, and size ,327680,
Received frame with timestamp ,1687243017.16, E2E delay ,2.10565066338, and size ,327680,
Received frame with timestamp ,1687243017.29, E2E delay ,2.09242892265, and size ,327680,
Received frame with timestamp ,1687243017.39, E2E delay ,2.11030936241, and size ,327680,
Received frame with timestamp ,1687243017.48, E2E delay ,2.13008165359, and size ,327680,
Received frame with timestamp ,1687243017.64, E2E delay ,2.06467103958, and size ,327680,
Received frame with timestamp ,1687243017.79, E2E delay ,2.00785207748, and size ,327680,
Received frame with timestamp ,1687243018.0, E2E delay ,1.91156768799, and size ,327680,
Received frame with timestamp ,1687243018.06, E2E delay ,1.96464681625, and size ,327680,
Received frame with timestamp ,1687243018.1, E2E delay ,1.98859429359, and size ,327680,
Received frame with timestamp ,1687243018.16, E2E delay ,2.10371804237, and size ,327680,
Received frame with timestamp ,1687243018.43, E2E delay ,1.96372318268, and size ,327680,
Received frame with timestamp ,1687243018.47, E2E delay ,2.13063216209, and size ,327680,
Received frame with timestamp ,1687243018.53, E2E delay ,2.27330446243, and size ,327680,
Received frame with timestamp ,1687243018.58, E2E delay ,2.35416460037, and size ,327680,
Received frame with timestamp ,1687243018.64, E2E delay ,2.36844229698, and size ,327680,
Received frame with timestamp ,1687243018.73, E2E delay ,2.38787746429, and size ,327680,
Received frame with timestamp ,1687243018.91, E2E delay ,2.390147686, and size ,327680,
Received frame with timestamp ,1687243019.17, E2E delay ,2.2024564743, and size ,327680,
Received frame with timestamp ,1687243019.22, E2E delay ,2.31811237335, and size ,327680,
Received frame with timestamp ,1687243019.29, E2E delay ,2.31569981575, and size ,327680,
Received frame with timestamp ,1687243019.36, E2E delay ,2.35521411896, and size ,327680,
Received frame with timestamp ,1687243019.44, E2E delay ,2.44413304329, and size ,327680,
Received frame with timestamp ,1687243019.52, E2E delay ,2.42554664612, and size ,327680,
Received frame with timestamp ,1687243019.64, E2E delay ,2.41611337662, and size ,327680,
Received frame with timestamp ,1687243019.72, E2E delay ,2.45843935013, and size ,327680,
Received frame with timestamp ,1687243019.88, E2E delay ,2.57312464714, and size ,327680,
Received frame with timestamp ,1687243020.23, E2E delay ,2.36263871193, and size ,327680,
Received frame with timestamp ,1687243020.32, E2E delay ,2.33503031731, and size ,327680,
Received frame with timestamp ,1687243020.38, E2E delay ,2.42562007904, and size ,327680,
Received frame with timestamp ,1687243020.43, E2E delay ,2.44134759903, and size ,327680,
Received frame with timestamp ,1687243020.67, E2E delay ,2.28589367867, and size ,327680,
Received frame with timestamp ,1687243020.75, E2E delay ,2.30842351913, and size ,327680,
Received frame with timestamp ,1687243020.93, E2E delay ,2.26410531998, and size ,327680,
Received frame with timestamp ,1687243020.98, E2E delay ,2.27371287346, and size ,327680,
